date,btc,eth,doge,ltc,bch,etc,dash
2017-12-09,63512148886.41671,23752914096.82587,120286167.92752248,2907415555.504803,6460342911.230845,1491528252.6196804,1709409354.0613568
2017-12-10,64599823562.726166,23655501044.942192,120703942.79298136,2956303958.1109524,6459768364.395433,1436720425.3695524,1727516231.8052034
2017-12-11,66347463428.88853,24119180909.114246,121407955.23349792,3244454711.9497957,6495094813.996162,1449732727.872831,1743672937.5438073
2017-12-12,68830784756.25319,25711110593.139893,125366143.9794939,4581883288.11552,6602946975.383107,1551531909.0533996,1777972692.5186763
2017-12-13,70241410775.58257,26853482144.624035,134953146.92263708,5011288864.936174,6693753087.223109,1541696868.8720057,1810002533.6926177
2017-12-14,71281419388.49716,28233142521.943356,139563405.72541648,5086356723.267857,6961923872.1152,1568720236.3053927,1848735560.8999188
2017-12-15,72670097773.35204,28473542712.657,141997542.0952288,5235509785.07274,7003324622.871445,1605008846.5681422,1864865254.6596167
2017-12-16,74230678338.4789,29192010189.576378,164668821.9180965,5297192844.60477,7049744846.765248,1642065248.2735167,1933086515.1595368
2017-12-17,75827043368.17657,29634841111.99556,177161651.65270767,5394231359.865983,7144845515.53204,1672979888.264115,1977532253.1437805
2017-12-18,76988404921.61517,30975587338.193825,182502806.51341116,5550278664.748468,7346314370.625142,1781861128.1820564,2016831633.662382
2017-12-19,77711922773.04922,31971875436.53076,184621039.71580976,5810001356.083521,7737718042.566112,1783561856.075846,2063715705.1106467
2017-12-20,78935560568.93663,32337325027.76532,189720606.8618681,5995405490.323122,9249640201.851393,1801182520.7359967,2179975346.996156
2017-12-21,79343081021.05371,32798422004.483643,208869909.92266324,6063115437.7822,9380789741.139309,1780594305.6534948,2221527533.052124
2017-12-22,79639863724.32799,32458410561.14531,217070719.79879308,5984113599.363529,9344907420.503107,1613143291.4289842,2335486733.937938
2017-12-23,80104986756.15083,32880038912.597385,229552436.31384975,6275850340.330605,9585583036.010012,1628049177.4436142,2366272995.8861456
2017-12-24,80372294839.44443,32832387718.512688,256137134.9504948,6304387262.24878,9604977894.643347,1598438825.439872,2401105777.2790437
2017-12-25,80572449790.34717,33253666328.17427,280156943.1049414,6314719444.787823,9670311302.47404,1607223854.5117836,2413162401.3252826
2017-12-26,81429828760.54832,33546631884.13622,288251117.79679835,6330327899.829783,9777122464.9548,1615244001.2865026,2435778328.285743
2017-12-27,82403672893.95747,33657795865.119125,293200530.92818666,6327762092.30513,9963446502.207506,1589151974.5674949,2449558939.5850825
2017-12-28,82620448455.71791,33703955013.417004,297264987.4357882,6274721914.343024,10050097131.565187,1567352467.4069452,2454685349.595195
2017-12-29,83098425835.51418,34190496460.96956,311546087.39502674,6217442252.040609,10104171680.917229,1575934120.0323043,2473646183.6587286
2017-12-30,83453010471.97066,34165674650.18472,312306780.1108946,6182515712.448507,10188788189.255423,1528302994.1271112,2479029119.160417
2017-12-31,83782591210.1722,34452634332.23552,317020261.27404726,6319321202.6508,10325500519.576378,1606987603.9887886,2486648883.54072
2018-01-01,83841120873.07097,34656164511.8829,321215135.9405792,6337421917.98551,10374350845.519714,1667358126.1451054,2493682259.5186734
2018-01-02,84621433103.6133,35812446866.85093,326326217.40835005,6377878758.714797,10443421053.86726,1793814893.593197,2512747274.427881
2018-01-03,85086698666.29985,36867135228.694435,331303622.55025285,6400619956.923065,10576854276.419369,1828266862.718104,2527594070.2748065
2018-01-04,85909025021.17285,37927637894.41481,342022496.16247827,6390866765.601028,10621694792.137728,1849882053.5556216,2546541517.284071
2018-01-05,87458707327.67488,39013909103.94004,370770075.7904261,6477971841.056872,10657387811.83466,1818671476.7936668,2557212368.528995
2018-01-06,88424557641.22992,40339475641.17627,419036839.8331448,6578524127.948799,10707593330.431688,2045442095.06102,2567959410.851064
2018-01-07,89557927689.4414,41726315606.74591,466581873.268106,6619039354.407244,10748650693.978764,2071987240.0396216,2602772095.342078
2018-01-08,89525228754.023,43876530651.827126,478163923.6381136,6614063637.930418,10769287036.552921,2056709209.2601328,2617233574.8514676
2018-01-09,89754021493.67203,46217920786.13978,474366513.0415168,6609540068.164911,10799423855.994144,2164236928.1174145,2635645890.047487
2018-01-10,90132198891.48787,47299532722.97346,481466609.6777777,6624806983.343866,10969404382.807604,2140711773.8585012,2633937587.8000402
2018-01-11,90260087885.45006,47297291971.031364,478347603.8251902,6601894489.215113,11026514954.803053,2053496335.0898776,2640062450.04511
2018-01-12,90573646445.2148,49278030871.57524,489971814.70889187,6611272535.560793,11210141322.065395,2151394679.063734,2652837135.1233077
