CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
1,26082.1935483871,1.0,1.0724243158282325,1.0667047596432122,1.08808844166745,1.226852332823778,1.4107939169968882,1.1029660576737559,1.1611753414763253,1.174499885391261,1.0098918060523308,Seagate,firecuda 520,ssd,nvme,2tb
1,8269.967741935483,1.0,0.9510703879397053,0.8649524708525602,0.9843811069201036,1.0318018169123413,1.0311043846954977,0.8029051874446599,0.8055654154753501,0.8024255402694295,0.803814033678019,Seagate,firecuda 510,ssd,nvme,512gb
0,15159.290322580646,1.0,0.9257288803447019,0.9640122739595436,0.9752435427652157,0.7636241376522009,0.7709309880594177,0.9712536547374334,0.8174440032514927,0.8047804178423537,0.7403912856589593,Seagate,firecuda 510,ssd,nvme,1tb
0,28612.58064516129,1.0,0.9427296651758033,1.022982220769118,0.9745946027200607,0.6924925872895974,0.6924925872895974,0.7144094070959086,0.8623479407885094,0.821299563692939,0.666917327140103,Seagate,firecuda 510,ssd,nvme,2tb
0,4095.8064516129034,1.0,0.9999949369367341,0.976852799873986,0.976852799873986,0.976852799873986,0.976852799873986,0.916917382058754,0.9150823029061983,0.9150823029061983,0.9150823029061983,Seagate,barracuda 510,ssd,nvme,256gb
0,6065.225806451613,1.0,0.9819855807147188,0.9610524300347832,0.8171775997844224,0.8648615587537629,0.8439916605503611,1.0477444128878537,1.0267362329940113,0.9000324430119879,1.088005658912255,Seagate,barracuda 510,ssd,nvme,512gb
0,11734.41935483871,1.0,1.013608495076715,1.0123100776046206,0.9842696927795356,0.9434033323528522,0.9467021472535991,0.8845909606973695,0.9525080614789136,0.9082113917241897,0.9257134374475968,Seagate,barracuda 510,ssd,nvme,1tb
1,5300.0,1.0,1.0,1.0752830188679245,1.0752830188679245,0.8040348330914369,1.0,1.0,1.0,1.0,1.0,SK hynix,gold s31,ssd,sata,512gb
1,8900.0,1.0,1.0,1.14406306632838,1.1234831460674157,0.8982022471910113,0.8982022471910113,0.9418050018122508,1.1685393258426966,1.1595505617977528,1.1685393258426966,SK hynix,gold s31,ssd,sata,1tb
1,5624.0,1.0,1.0,1.0,1.1580369843527738,1.0300784655623365,1.0432906590801327,1.2328213187720827,1.2267069701280227,1.1874466571834992,1.1037546459872436,SK hynix,gold p31,ssd,nvme,512gb
0,12279.645161290322,1.0,1.0219990520448399,0.9673732297612887,0.8984787308659229,0.8811959996742577,0.8589010400111383,0.922688740086532,0.9338926994317899,1.0059954098354913,0.9591272207613439,SK hynix,gold p31,ssd,nvme,1tb
0,20483.290322580644,1.0,1.1720354727715567,1.1716867564749867,1.1716867564749867,1.0598725633167554,1.000815771155718,1.000815771155718,1.000815771155718,1.000815771155718,1.000815771155718,Western Digital,wd gold,ssd,sata,1tb
1,34567.0,1.0,0.7924434535002418,1.075567131433392,1.0748690948014001,1.0748690948014001,1.0748690948014001,1.0590372880343644,0.9112737582086962,0.9112737582086962,0.9112737582086962,Western Digital,wd gold,ssd,sata,2tb
1,4781.709677419355,1.0,1.1079719090890692,0.9961951792111069,1.0940159523632838,1.2714375341523143,1.1182820289679085,1.0770341287027854,1.3759958983492204,2.0877121378730332,1.0,Western Digital,wd red,ssd,sata,512gb
0,9343.838709677419,1.0,0.9879887088907007,1.1435032227550326,1.1861470441680275,1.0805947683310375,1.0939757899230935,1.1630676070828112,1.2000662848383792,1.1248089420088219,1.0956124270262622,Western Digital,wd red,ssd,sata,1tb
1,20538.41935483871,1.0,1.1478383660878781,0.9100505582770921,0.8609929044596726,1.0726364908566322,1.168493036653573,1.1443918635570474,1.1162274949700874,1.0743821483960736,1.0,Western Digital,wd red,ssd,sata,2tb
1,41767.0,1.0,1.0294969712931261,1.0014782468332384,1.0143757831142608,1.0980894779564359,1.0773337802571408,1.049237822420386,0.9499604951277324,0.7654432127437132,0.9156619247947716,Western Digital,wd red,ssd,sata,4tb
1,3455.6129032258063,1.0,1.0635285143518594,1.0505488966058028,1.4187256512701791,1.0516877637130801,1.0787280783640143,1.14728725589037,1.1555393749299876,1.1192418754589697,1.114129420111273,Western Digital,wd blue,ssd,sata,256gb
1,4731.8387096774195,1.0,1.2942265796267853,1.1410827135328965,1.09926964670807,1.1981907053794816,1.4210825317399178,1.4563185558365772,1.0743487834641108,1.3939260693403868,1.54030009475959,Western Digital,wd blue,ssd,sata,512gb
0,8889.032258064517,1.0,1.0505884121684672,1.0654884598635506,0.9739380413219141,0.9983814777181012,0.9662919146465379,0.9585280882566409,1.1524096385542169,0.8973755262011902,1.1534983306720858,Western Digital,wd blue,ssd,sata,1tb
0,20940.8064516129,1.0,0.9608887680987995,0.9337903306555345,0.8575266688746312,0.8109941232198287,0.8882434101242879,0.847769057173446,0.9324131769272836,0.9233789560435329,0.896805896805897,Western Digital,wd blue,ssd,sata,2tb
0,39573.0,1.0,1.0060132991108655,1.0951577444053986,0.9530690116998964,0.898303910372256,0.7254971824223586,0.7180629021253494,0.8229111898549272,0.7068337839772909,0.823417400100916,Western Digital,wd blue,ssd,sata,4tb
0,1996.8387096774193,1.0,1.2514781428709896,1.1340021324028304,1.0491583470647152,1.0491583470647152,1.0491583470647152,1.0,1.0,1.0,1.0,Western Digital,wd green,ssd,sata,128gb
1,3212.0967741935483,1.0,1.0426211398443386,1.0456339442631182,0.9941792618629175,1.1440321365804669,1.2449811699723827,1.2449811699723827,1.2449811699723827,1.2449811699723827,1.0,Western Digital,wd green,ssd,sata,256gb
0,4135.354838709677,1.0,1.094110636391597,0.9740553527411152,0.9712185507608143,0.8948719148803396,0.8359621205029799,1.1179521981965117,1.1856298168429593,1.1856298168429593,1.0,Western Digital,wd green,ssd,sata,512gb
